Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B30,no_plasmid,1,5,1,no_plasmid,Cm,20.666
A1,B30,no_plasmid,1,5,1,no_plasmid,Tet,24.732
A2,B30,p15A_plasmid,1,5,1,A31_plasmid,Cm,21.848
A2,B30,p15A_plasmid,1,5,1,A31_plasmid,Tet,22.543
A3,B30,pUC_plasmid,1,5,1,A18_plasmid,Cm,20.980
A3,B30,pUC_plasmid,1,5,1,A18_plasmid,Tet,15.751
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,24.593
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,28.161
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,24.080
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,28.242
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,23.471
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,27.702
A10,B30,no_plasmid,1,0,1,no_plasmid,Cm,22.724
A10,B30,no_plasmid,1,0,1,no_plasmid,Tet,26.997
A11,B30,p15A_plasmid,1,0,1,A31_plasmid,Cm,22.748
A11,B30,p15A_plasmid,1,0,1,A31_plasmid,Tet,27.050
A12,B30,pUC_plasmid,1,0,1,A18_plasmid,Cm,22.313
A12,B30,pUC_plasmid,1,0,1,A18_plasmid,Tet,26.452
B1,B30,no_plasmid,1,5,2,no_plasmid,Cm,20.500
B1,B30,no_plasmid,1,5,2,no_plasmid,Tet,23.866
B2,B30,p15A_plasmid,1,5,2,A31_plasmid,Cm,19.373
B2,B30,p15A_plasmid,1,5,2,A31_plasmid,Tet,20.653
B3,B30,pUC_plasmid,1,5,2,A18_plasmid,Cm,20.998
B3,B30,pUC_plasmid,1,5,2,A18_plasmid,Tet,15.895
B6,B30,no_plasmid,1,0,2,no_plasmid_ancestor,Cm,24.593
B6,B30,no_plasmid,1,0,2,no_plasmid_ancestor,Tet,28.741
B7,B30,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Cm,24.073
B7,B30,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Tet,28.265
B8,B30,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Cm,23.538
B8,B30,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Tet,27.992
B10,B30,no_plasmid,1,0,2,no_plasmid,Cm,23.104
B10,B30,no_plasmid,1,0,2,no_plasmid,Tet,27.359
B11,B30,p15A_plasmid,1,0,2,A31_plasmid,Cm,22.804
B11,B30,p15A_plasmid,1,0,2,A31_plasmid,Tet,27.094
B12,B30,pUC_plasmid,1,0,2,A18_plasmid,Cm,22.159
B12,B30,pUC_plasmid,1,0,2,A18_plasmid,Tet,26.401
C1,B30,no_plasmid,1,5,3,no_plasmid,Cm,21.033
C1,B30,no_plasmid,1,5,3,no_plasmid,Tet,25.184
C2,B30,p15A_plasmid,1,5,3,A31_plasmid,Cm,19.793
C2,B30,p15A_plasmid,1,5,3,A31_plasmid,Tet,21.068
C3,B30,pUC_plasmid,1,5,3,A18_plasmid,Cm,21.219
C3,B30,pUC_plasmid,1,5,3,A18_plasmid,Tet,16.287
C6,B30,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,24.737
C6,B30,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,28.937
C7,B30,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,24.262
C7,B30,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,28.473
C8,B30,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,23.631
C8,B30,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,28.362
C10,B30,no_plasmid,1,0,3,no_plasmid,Cm,23.142
C10,B30,no_plasmid,1,0,3,no_plasmid,Tet,27.493
C11,B30,p15A_plasmid,1,0,3,A31_plasmid,Cm,23.072
C11,B30,p15A_plasmid,1,0,3,A31_plasmid,Tet,27.409
C12,B30,pUC_plasmid,1,0,3,A18_plasmid,Cm,22.081
C12,B30,pUC_plasmid,1,0,3,A18_plasmid,Tet,26.340
D1,B30,no_plasmid,1,5,4,no_plasmid,Cm,21.780
D1,B30,no_plasmid,1,5,4,no_plasmid,Tet,25.693
D2,B30,p15A_plasmid,1,5,4,A31_plasmid,Cm,21.193
D2,B30,p15A_plasmid,1,5,4,A31_plasmid,Tet,22.067
D3,B30,pUC_plasmid,1,5,4,A18_plasmid,Cm,21.103
D3,B30,pUC_plasmid,1,5,4,A18_plasmid,Tet,16.856
D10,B30,no_plasmid,1,0,4,no_plasmid,Cm,22.889
D10,B30,no_plasmid,1,0,4,no_plasmid,Tet,27.265
D11,B30,p15A_plasmid,1,0,4,A31_plasmid,Cm,23.275
D11,B30,p15A_plasmid,1,0,4,A31_plasmid,Tet,27.631
D12,B30,pUC_plasmid,1,0,4,A18_plasmid,Cm,22.581
D12,B30,pUC_plasmid,1,0,4,A18_plasmid,Tet,26.942
E1,B30,no_plasmid,1,5,5,no_plasmid,Cm,21.345
E1,B30,no_plasmid,1,5,5,no_plasmid,Tet,25.464
