Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,2,5,1,no_plasmid,Cm,20.769
A1,B59,no_plasmid,2,5,1,no_plasmid,Tet,24.707
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Cm,23.325
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Tet,27.722
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Cm,NA
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Tet,NA
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,24.139
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,28.105
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,24.534
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,28.367
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,21.636
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,25.666
A10,B59,no_plasmid,2,0,1,no_plasmid,Cm,22.471
A10,B59,no_plasmid,2,0,1,no_plasmid,Tet,26.624
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Cm,22.716
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Tet,26.973
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Cm,22.884
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Tet,26.912
B1,B59,no_plasmid,2,5,2,no_plasmid,Cm,22.33
B1,B59,no_plasmid,2,5,2,no_plasmid,Tet,26.361
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Cm,NA
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Tet,NA
B3,B59,pUC_plasmid,2,5,2,A18_plasmid,Cm,37.397
B3,B59,pUC_plasmid,2,5,2,A18_plasmid,Tet,NA
B6,B59,no_plasmid,2,0,2,no_plasmid_ancestor,Cm,24.402
B6,B59,no_plasmid,2,0,2,no_plasmid_ancestor,Tet,28.486
B7,B59,p15A_plasmid,2,0,2,A31_plasmid_ancestor,Cm,25.432
B7,B59,p15A_plasmid,2,0,2,A31_plasmid_ancestor,Tet,29.217
B8,B59,pUC_plasmid,2,0,2,A18_plasmid_ancestor,Cm,22.283
B8,B59,pUC_plasmid,2,0,2,A18_plasmid_ancestor,Tet,26.588
B10,B59,no_plasmid,2,0,2,no_plasmid,Cm,21.747
B10,B59,no_plasmid,2,0,2,no_plasmid,Tet,25.967
B11,B59,p15A_plasmid,2,0,2,A31_plasmid,Cm,22.859
B11,B59,p15A_plasmid,2,0,2,A31_plasmid,Tet,27.015
B12,B59,pUC_plasmid,2,0,2,A18_plasmid,Cm,23.662
B12,B59,pUC_plasmid,2,0,2,A18_plasmid,Tet,27.775
C1,B59,no_plasmid,2,5,3,no_plasmid,Cm,19.292
C1,B59,no_plasmid,2,5,3,no_plasmid,Tet,23.204
C2,B59,p15A_plasmid,2,5,3,A31_plasmid,Cm,21.858
C2,B59,p15A_plasmid,2,5,3,A31_plasmid,Tet,26.034
C3,B59,pUC_plasmid,2,5,3,A18_plasmid,Cm,21.99
C3,B59,pUC_plasmid,2,5,3,A18_plasmid,Tet,26.432
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,24.796
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,28.746
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,25.718
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,29.424
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,24.204
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,28.497
C10,B59,no_plasmid,2,0,3,no_plasmid,Cm,21.725
C10,B59,no_plasmid,2,0,3,no_plasmid,Tet,25.93
C11,B59,p15A_plasmid,2,0,3,A31_plasmid,Cm,22.062
C11,B59,p15A_plasmid,2,0,3,A31_plasmid,Tet,26.252
C12,B59,pUC_plasmid,2,0,3,A18_plasmid,Cm,22.388
C12,B59,pUC_plasmid,2,0,3,A18_plasmid,Tet,26.419
D1,B59,no_plasmid,2,5,4,no_plasmid,Cm,20.977
D1,B59,no_plasmid,2,5,4,no_plasmid,Tet,25.036
D2,B59,p15A_plasmid,2,5,4,A31_plasmid,Cm,21.707
D2,B59,p15A_plasmid,2,5,4,A31_plasmid,Tet,25.967
D3,B59,pUC_plasmid,2,5,4,A18_plasmid,Cm,21.867
D3,B59,pUC_plasmid,2,5,4,A18_plasmid,Tet,26.19
D10,B59,no_plasmid,2,0,4,no_plasmid,Cm,20.558
D10,B59,no_plasmid,2,0,4,no_plasmid,Tet,24.507
D11,B59,p15A_plasmid,2,0,4,A31_plasmid,Cm,21.42
D11,B59,p15A_plasmid,2,0,4,A31_plasmid,Tet,25.549
D12,B59,pUC_plasmid,2,0,4,A18_plasmid,Cm,23.064
D12,B59,pUC_plasmid,2,0,4,A18_plasmid,Tet,27.303
E1,B59,no_plasmid,2,5,5,no_plasmid,Cm,22.065
E1,B59,no_plasmid,2,5,5,no_plasmid,Tet,26.159
E2,B59,p15A_plasmid,2,5,5,A31_plasmid,Cm,21.978
E2,B59,p15A_plasmid,2,5,5,A31_plasmid,Tet,26.101
