Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B30,no_plasmid,2,5,1,no_plasmid,Cm,23.840
A1,B30,no_plasmid,2,5,1,no_plasmid,Kan,38.606
A1,B30,no_plasmid,2,5,1,no_plasmid,Tet,24.401
A2,B30,p15A_plasmid,2,5,1,A31_plasmid,Cm,25.123
A2,B30,p15A_plasmid,2,5,1,A31_plasmid,Kan,22.921
A2,B30,p15A_plasmid,2,5,1,A31_plasmid,Tet,25.548
A3,B30,pUC_plasmid,2,5,1,A18_plasmid,Cm,25.294
A3,B30,pUC_plasmid,2,5,1,A18_plasmid,Kan,19.607
A3,B30,pUC_plasmid,2,5,1,A18_plasmid,Tet,20.538
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,24.980
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Kan,39.305
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,25.997
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,23.253
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Kan,23.201
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,24.191
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,24.265
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Kan,19.769
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,25.171
A10,B30,no_plasmid,2,0,1,no_plasmid,Cm,24.864
A10,B30,no_plasmid,2,0,1,no_plasmid,Kan,NA
A10,B30,no_plasmid,2,0,1,no_plasmid,Tet,26.030
A11,B30,p15A_plasmid,2,0,1,A31_plasmid,Cm,24.967
A11,B30,p15A_plasmid,2,0,1,A31_plasmid,Kan,23.479
A11,B30,p15A_plasmid,2,0,1,A31_plasmid,Tet,26.240
A12,B30,pUC_plasmid,2,0,1,A18_plasmid,Cm,26.678
A12,B30,pUC_plasmid,2,0,1,A18_plasmid,Kan,21.985
A12,B30,pUC_plasmid,2,0,1,A18_plasmid,Tet,27.777
B1,B30,no_plasmid,2,5,2,no_plasmid,Cm,26.632
B1,B30,no_plasmid,2,5,2,no_plasmid,Kan,NA
B1,B30,no_plasmid,2,5,2,no_plasmid,Tet,26.971
B2,B30,p15A_plasmid,2,5,2,A31_plasmid,Cm,24.407
B2,B30,p15A_plasmid,2,5,2,A31_plasmid,Kan,21.973
B2,B30,p15A_plasmid,2,5,2,A31_plasmid,Tet,24.095
B3,B30,pUC_plasmid,2,5,2,A18_plasmid,Cm,22.607
B3,B30,pUC_plasmid,2,5,2,A18_plasmid,Kan,16.817
B3,B30,pUC_plasmid,2,5,2,A18_plasmid,Tet,18.393
B6,B30,no_plasmid,0,0,2,no_plasmid_ancestor,Cm,24.517
B6,B30,no_plasmid,0,0,2,no_plasmid_ancestor,Kan,NA
B6,B30,no_plasmid,0,0,2,no_plasmid_ancestor,Tet,25.560
B7,B30,p15A_plasmid,0,0,2,A31_plasmid_ancestor,Cm,24.475
B7,B30,p15A_plasmid,0,0,2,A31_plasmid_ancestor,Kan,24.125
B7,B30,p15A_plasmid,0,0,2,A31_plasmid_ancestor,Tet,25.536
B8,B30,pUC_plasmid,0,0,2,A18_plasmid_ancestor,Cm,23.063
B8,B30,pUC_plasmid,0,0,2,A18_plasmid_ancestor,Kan,18.751
B8,B30,pUC_plasmid,0,0,2,A18_plasmid_ancestor,Tet,24.061
B10,B30,no_plasmid,2,0,2,no_plasmid,Cm,24.438
B10,B30,no_plasmid,2,0,2,no_plasmid,Kan,39.088
B10,B30,no_plasmid,2,0,2,no_plasmid,Tet,25.770
B11,B30,p15A_plasmid,2,0,2,A31_plasmid,Cm,25.086
B11,B30,p15A_plasmid,2,0,2,A31_plasmid,Kan,23.652
B11,B30,p15A_plasmid,2,0,2,A31_plasmid,Tet,26.375
B12,B30,pUC_plasmid,2,0,2,A18_plasmid,Cm,25.467
B12,B30,pUC_plasmid,2,0,2,A18_plasmid,Kan,20.399
B12,B30,pUC_plasmid,2,0,2,A18_plasmid,Tet,26.634
C1,B30,no_plasmid,2,5,3,no_plasmid,Cm,25.967
C1,B30,no_plasmid,2,5,3,no_plasmid,Kan,NA
C1,B30,no_plasmid,2,5,3,no_plasmid,Tet,26.214
C2,B30,p15A_plasmid,2,5,3,A31_plasmid,Cm,23.500
